,Magnetic Field (Oe),True Field (Oe),Field correction
0,24997.3605,24719.325842313043,278.03465768695605
1,22918.3995,22632.67415416736,285.7253458326413
2,20836.0585,20541.898688322955,294.15981167704376
3,18749.589,18461.750833970214,287.8381660297855
4,16666.1115,16390.261226874718,275.8502731252811
5,14581.87,14323.713339825765,258.1566601742361
6,12500.1655,12264.950030337106,235.21546966289316
7,10416.8485,10200.62990014369,216.2185998563109
8,8333.4015,8132.721264581004,200.68023541899584
9,6250.243,6071.553351010469,178.68964898953163
10,4166.5865,4004.4158575878064,162.17064241219396
11,2083.577,1938.0216090387407,145.5553909612595
12,0.0305,-129.34658719627896,129.37708719627895
13,-2083.2355,-2196.743340869415,113.5078408694153
14,-4166.4555,-4244.811484482523,78.35598448252313
15,-6249.7485,-6294.837200240414,45.088700240414255
16,-8333.1375,-8334.521400280713,1.3839002807126235
17,-10416.601,-10385.59648597991,-31.004514020090937
18,-12499.691,-12435.249141106495,-64.44185889350592
19,-14583.17,-14484.271026530065,-98.8989734699353
20,-16664.012,-16525.84704158835,-138.16495841164942
21,-18748.7175,-18574.517682246442,-174.199817753557
22,-20832.171,-20624.566418817507,-207.60458118249153
23,-22914.7305,-22671.595131266822,-243.13536873317935
24,-24997.7275,-24723.790931449297,-273.93656855070367
25,-22916.141,-22625.244329861187,-290.8966701388126
26,-20835.4695,-20543.837835091857,-291.63166490814183
27,-18753.6345,-18464.906479079134,-288.7280209208657
28,-16669.1475,-16393.499031981395,-275.64846801860404
29,-14585.1865,-14324.55475606321,-260.6317439367904
30,-12500.281,-12262.475246219898,-237.80575378010326
31,-10416.641,-10195.189960043392,-221.45103995660793
32,-8333.5235,-8129.695640451737,-203.8278595482625
33,-6250.0245,-6063.370776826266,-186.65372317373476
34,-4166.684,-3999.0508560930866,-167.63314390691357
35,-2083.61,-1934.0297824382526,-149.58021756174753
36,-0.1195,134.58725937548292,-134.7067593754829
37,2083.0095,2201.8178843415603,-118.80838434156021
38,4166.6045,4250.926835616381,-84.32233561638077
39,6249.695,6297.600031854492,-47.905031854492336
40,8333.1125,8342.293109597382,-9.1806095973825
41,10416.638,10392.317814105782,24.32018589421932
42,12499.838,12436.122401224307,63.71559877569234
43,14583.0325,14487.257307777161,95.77519222283809
44,16665.4335,16522.183081146977,143.25041885302198
45,18749.993,18574.389333349878,175.60366665012043
46,20832.993,20625.638860088176,207.35413991182213
47,22914.0305,22673.102640537127,240.92785946287404
48,24998.1625,24725.450610574364,272.7118894256346
