,Magnetic Field (Oe),True Field (Oe)
0,499.9835,529.5396910598608
1,480.792,529.4480014704786
2,472.9675,520.7305106406072
3,452.446,495.05690304422524
4,426.711,467.7400711189491
5,402.162,441.7741430321046
6,377.897,415.3154673283335
7,352.502,389.18619122718667
8,327.177,361.93587990182266
9,302.9545,336.24419413111525
10,278.7185,310.1568037488599
11,253.4635,283.3495424582519
12,229.3385,257.4205672037331
13,205.102,231.16036349135643
14,178.7755,204.51103539572443
15,153.6765,178.49955138493704
16,129.6915,152.07720749832583
17,105.5815,126.09764975089011
18,81.1325,99.6398153051225
19,55.7215,73.96500785661257
20,31.767,47.60149003821129
21,6.7395,21.37922965248337
22,-18.2465,-4.6877781741718225
23,-42.1315,-31.042332236527308
24,-67.173,-57.00612852531685
25,-92.0175,-82.86304018671879
26,-115.607,-108.87114558120085
27,-139.365,-134.81852226062452
28,-163.094,-160.7114542781389
29,-187.995,-186.64254235480206
30,-212.9535,-212.51108775746556
31,-235.709,-238.39477641931427
32,-259.947,-264.77422452500645
33,-286.2605,-290.4896719267912
34,-311.1065,-316.286687215975
35,-333.651,-342.4754940392407
36,-358.4265,-368.252676224414
37,-383.331,-393.95753975316273
38,-405.964,-419.92384246552433
39,-429.668,-445.95380274690547
40,-453.1585,-471.0481716169265
41,-470.136,-492.3788686263958
42,-481.8225,-507.7163314433586
43,-499.9755,-534.0382522753208
44,-479.477,-534.134314030938
45,-472.273,-526.6014154791752
46,-453.4305,-500.46687794827506
47,-428.811,-472.8680837641319
48,-403.0205,-446.4863690721331
49,-377.187,-419.99317458770054
50,-352.652,-392.62561715709893
51,-327.0595,-366.4529969774101
52,-301.297,-339.7513410094087
53,-275.6605,-312.5553479293365
54,-252.2835,-286.45627077120736
55,-226.6335,-259.56096255109617
56,-199.8675,-232.97506682732603
57,-176.5755,-206.44847801251456
58,-151.815,-179.83105257512537
59,-125.8965,-153.32403822141418
60,-101.4325,-126.3650582145054
61,-75.938,-100.0057334004818
62,-51.7295,-73.59554946266078
63,-27.478,-47.197589231174646
64,-0.978499999999999,-20.534216927353484
65,24.362,5.8575865713524955
66,47.512,32.33609320637304
67,70.4925,58.77645859796633
68,96.679,84.90123056242898
69,121.8345,111.24900052779418
70,145.846,137.66405395675955
71,169.93,163.94700834131783
72,194.395,189.73224172264895
73,220.017,216.16146235249914
74,245.2155,242.53171293286667
75,270.3995,268.67580996778935
76,294.468,294.99466313379696
77,318.396,321.7483657948275
78,343.482,347.3287410144388
79,368.5965,373.1099659281548
80,392.597,399.39901021668715
81,416.5295,425.1202473765132
82,441.467,451.37930617335576
83,462.9885,476.66946567501475
84,479.7525,497.57216033113644
85,491.628,512.4933201560535
86,500.1635,528.9096771759465
